Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
84883	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	NM_032797	NP_116186.1	ENSG00000042286	chr10:71543939 - 71553846	apoptosis;apoptotic mitochondrial changes;chromosome condensation;cytoplasm;cytosol;DNA binding;electron transport;electron-transferring-flavoprotein dehydrogenase activity;FAD binding;induction of apoptosis;integral to membrane;membrane;metabolic process;mitochondrial outer membrane;mitochondrion;outer membrane;oxidoreductase activity	Tumor Suppressor
9049	AIP	aryl hydrocarbon receptor interacting protein	NM_003977	NP_003968.2	ENSG00000110711	chr11:67007205 - 67015040	cytoplasm;cytosol;membrane fraction;protein import into mitochondrion;protein maturation via protein folding;signal transducer activity;transcription coactivator activity;unfolded protein binding;xenobiotic metabolic process	Stability,  Tumor Suppressor
9590	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	NM_005100, NM_144497	NP_005091.2, NP_653080.1	ENSG00000131016	chr6:151603390 - 151716568	cytoplasm;G-protein coupled receptor protein signaling pathway;protein binding;protein kinase A binding;protein targeting;signal transduction	Protein Kinase,  Tumor Suppressor
231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	NM_001628	NP_001619.1	ENSG00000085662	chr7:133778019 - 133794354	aldehyde reductase activity;carbohydrate metabolic process;electron carrier activity;extracellular space;oxidoreductase activity;protein binding;response to stress	Tumor Suppressor
57016	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	NM_020299	NP_064695.3	ENSG00000198074	chr7:133863203 - 133876381	aldehyde metabolic process;aldo-keto reductase activity;cellular_component;digestion;oxidoreductase activity;steroid metabolic process	Stability,  Tumor Suppressor,  Entrez Query:Oncogene
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
214	ALCAM	activated leukocyte cell adhesion molecule	NM_001627	NP_001618.2	ENSG00000170017	chr3:106568942 - 106773473	axon;cell adhesion;cell soma;external side of plasma membrane;integral to plasma membrane;membrane;membrane fraction;motor axon guidance;receptor binding;signal transduction	Tumor Suppressor
246	ALOX15	arachidonate 15-lipoxygenase	NM_001140	NP_001131.3	ENSG00000161905	chr17:4481643 - 4491695	arachidonate 15-lipoxygenase activity;electron transport;inflammatory response;iron ion binding;leukotriene biosynthetic process;lipid metabolic process;lipoxygenase activity;metal ion binding;oxidoreductase activity;plasma membrane	Tumor Suppressor
249	ALPL	alkaline phosphatase, liver/bone/kidney	NM_001127501	NP_001120973.1	ENSG00000162551	chr1:21753161 - 21776728	alkaline phosphatase activity;GPI anchor binding;hydrolase activity;integral to membrane;magnesium ion binding;membrane;metabolic process;ossification;zinc ion binding	Stability,  Tumor Suppressor
268	AMH	anti-Mullerian hormone	NM_000479	NP_000470.2	ENSG00000104899	chr19:2200331 - 2202956	cell-cell signaling;cytoplasm;extracellular region;extracellular space;gonadal mesoderm development;growth factor activity;hormone activity;Mullerian duct regression;sex determination;sex differentiation	Tumor Suppressor
8125	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	NM_006305	NP_006296.1	ENSG00000140350	chr15:66859473 - 66900144	cytoplasm;endoplasmic reticulum;intracellular signaling cascade;nucleocytoplasmic transport;nucleus;perinuclear region of cytoplasm;protein binding	Tumor Suppressor
10541	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	NM_006401	NP_006392.1	ENSG00000136938	chr9:99785658 - 99817534	nucleus;protein binding	Tumor Suppressor
23520	ANP32C	acidic (leucine-rich) nuclear phosphoprotein 32 family, member C	NM_012403	NP_036535.1	ENSG00000184701	chr4:165337608 - 165338313	protein binding	Tumor Suppressor
23519	ANP32D	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D	NM_012404	NP_036536.2	ENSG00000139223	chr12:47152714 - 47153110	protein binding	Tumor Suppressor
301	ANXA1	annexin A1	NM_000700	NP_000691.1	ENSG00000135046	chr9:74963271 - 74974843	anti-apoptosis;arachidonic acid secretion;calcium ion binding;calcium-dependent phospholipid binding;cell cycle;cell motility;cell surface receptor linked signal transduction;cornified envelope;cytoplasm;inflammatory response;keratinocyte differentiation;lipid metabolic process;peptide cross-linking;phospholipase A2 inhibitor activity;phospholipase inhibitor activity;protein binding, bridging;receptor binding;regulation of cell proliferation;sarcolemma;structural molecule activity	Tumor Suppressor
310	ANXA7	annexin A7	NM_004034, NM_001156	NP_004025.1, NP_001147.1	ENSG00000138279	chr10:74805858 - 74830620	calcium ion binding;calcium-dependent phospholipid binding;voltage-gated calcium channel activity	Tumor Suppressor
317	APAF1	apoptotic peptidase activating factor 1	NM_181869, NM_013229, NM_181868, NM_181861, NM_001160	NP_863659.1, NP_037361.1, NP_863658.1, NP_863651.1, NP_001151.1	ENSG00000120868	chr12:97566268 - 97650475	ATP binding;caspase activation via cytochrome c;caspase activator activity;cytosol;intracellular;nervous system development;nucleotide binding;protein binding;regulation of apoptosis	Tumor Suppressor
324	APC	adenomatosis polyposis coli	NM_001127511, NM_001127510	NP_001120983.1, NP_001120982.1	ENSG00000134982	chr5:112118486 - 112207722	anterior/posterior pattern formation;axis specification;beta-catenin binding;beta-catenin destruction complex;cell adhesion;cell cycle;cell cycle arrest;centrosome;cytoplasm;dorsal/ventral pattern formation;kinetochore;lateral plasma membrane;microtubule binding;negative regulation of cell proliferation;negative regulation of cyclin-dependent protein kinase activity;negative regulation of microtubule depolymerization;nucleus;protein complex assembly;protein kinase binding;protein kinase CK2 regulator activi	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
378708	APITD1	apoptosis-inducing, TAF9-like domain 1	NM_198544, NM_199295	NP_940946.1, NP_954992.1	ENSG00000175279	chr1:10412923 - 10417301	chromosome;chromosome, pericentric region;nucleus	Tumor Suppressor
351	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	NM_000484, NM_201414, NM_201413	NP_000475.1, NP_958817.1, NP_958816.1	ENSG00000142192	chr21:26175851 - 26464809	apoptosis;binding;cell adhesion;cell surface;coated pit;copper ion binding;copper ion homeostasis;endocytosis;extracellular region;heparin binding;identical protein binding;integral to membrane;integral to plasma membrane;iron ion binding;membrane;metal ion binding;neuromuscular process;Notch signaling pathway;serine-type endopeptidase inhibitor activity;zinc ion binding	NOTCH,  Stability,  Tumor Suppressor
367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	NM_000044, NM_001011645	NP_000035.2, NP_001011645.1	ENSG00000169083	chrX:66681713 - 66860408	androgen binding;androgen receptor activity;androgen receptor signaling pathway;cell growth;cell proliferation;cell-cell signaling;cytoplasm;in utero embryonic development;lipid binding;male gonad development;male somatic sex determination;metal ion binding;nucleus;prostate gland development;protein dimerization activity;receptor activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;sex differentiation;signal transduction;transcription factor activity;transport;zinc ion binding	Alpha6Beta4 Integrin,  Androgen Receptor,  TGFBR,  Stability,  Tumor Suppressor
375	ARF1	ADP-ribosylation factor 1	NM_001658	NP_001649.1	ENSG00000143761	chr1:226351438 - 226352337	cytosol;endomembrane system;ER to Golgi vesicle-mediated transport;GTP binding;GTPase activity;intracellular;nucleotide binding;plasma membrane;protein binding;protein transport;receptor signaling protein activity;sarcomere;small GTPase mediated signal transduction;vesicle-mediated transport	Stability,  Tumor Suppressor
383	ARG1	arginase, liver	NM_000045	NP_000036.2	ENSG00000118520	chr6:131936115 - 131946741	arginase activity;arginine catabolic process;cytoplasm;hydrolase activity;manganese ion binding;metal ion binding;urea cycle	Tumor Suppressor
9411	ARHGAP29	Rho GTPase activating protein 29	NM_004815	NP_004806.3	ENSG00000137962	chr1:94412012 - 94469755	intracellular;intracellular signaling cascade;Rho GTPase activator activity;Rho protein signal transduction	Tumor Suppressor
23365	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	NM_015313	NP_056128.1	ENSG00000196914	chr11:119713162 - 119860996	GTPase activator activity;guanyl-nucleotide exchange factor activity;intracellular;protein binding;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity	Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Translocation
115761	ARL11	ADP-ribosylation factor-like 11	NM_138450	NP_612459.1	ENSG00000152213	chr13:49102584 - 49103175	GTP binding;intracellular;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor
80117	ARL14	ADP-ribosylation factor-like 14	NM_025047	NP_079323.1	ENSG00000179674	chr3:161877828 - 161878407	GTP binding;intracellular;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor
409	ARRB2	arrestin, beta 2	NM_004313, NM_199004	NP_004304.1, NP_945355.1	ENSG00000141480	chr17:4560765 - 4571083	cytoplasm;nucleus;plasma membrane;protein binding;response to stimulus;sensory perception;signal transduction	TGFBR,  Wnt,  Stability,  Tumor Suppressor
467	ATF3	activating transcription factor 3	NM_001674, NM_004024	NP_001665.1, NP_004015.4	ENSG00000162772	chr1:210854986 - 210859520	DNA binding;nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription corepressor activity;transcription factor activity	ID,  TGFBR,  Stability,  Tumor Suppressor
472	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	NM_138292, NM_000051	NP_612149.1, NP_000042.3	ENSG00000149311	chr11:107603561 - 107741445	1-phosphatidylinositol-3-kinase activity;cell cycle;DNA binding;DNA repair;meiotic recombination;mitotic spindle checkpoint;negative regulation of progression through cell cycle;nucleus;protein N-terminus binding;protein serine/threonine kinase activity;response to ionizing radiation;signal transduction;transferase activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
545	ATR	ataxia telangiectasia and Rad3 related	NM_001184	NP_001175.2	ENSG00000175054	chr3:143650960 - 143780236	cell cycle;cell cycle checkpoint;chromosome;DNA binding;DNA repair;manganese ion binding;multicellular organismal development;MutLalpha complex binding;MutSalpha complex binding;nucleus;phosphotransferase activity, alcohol group as acceptor;protein binding;protein serine/threonine kinase activity;transferase activity	Protein Kinase,  Stability,  Tumor Suppressor
6790	AURKA	aurora kinase A	NM_003600	NP_940839.1	ENSG00000087586	chr20:54378620 - 54396660	ATP binding;kinase activity;mitosis;mitotic cell cycle;nucleotide binding;nucleus;phosphoinositide-mediated signaling;protein amino acid phosphorylation;protein binding;protein kinase activity;protein serine/threonine kinase activity;regulation of protein stability;spindle;spindle organization and biogenesis;transferase activity;ubiquitin protein ligase binding	Stability,  Tumor Suppressor
9212	AURKB	aurora kinase B	NM_004217	NP_004208.2	ENSG00000178999	chr17:8048913 - 8054267	ATP binding;cell cycle;cell division;chromosome;chromosome, pericentric region;mitosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;transferase activity	Tumor Suppressor
8312	AXIN1	axin 1	NM_003502, NM_181050	NP_003493.1, NP_851393.1	ENSG00000103126	chr16:278122 - 337026	apoptosis;beta-catenin destruction complex;cell cycle;cytoplasm;intracellular;lateral plasma membrane;multicellular organismal development;negative regulation of progression through cell cycle;nucleus;oocyte axis determination;protein binding;signal transducer activity;Wnt receptor signaling pathway through beta-catenin	TGFBR,  Wnt,  Tumor Suppressor
575	BAI1	brain-specific angiogenesis inhibitor 1	NM_001702	NP_001693.2	ENSG00000181790	chr8:143542561 - 143622780	axonogenesis;brain-specific angiogenesis inhibitor activity;cell adhesion;G-protein coupled receptor activity;integral to plasma membrane;intercellular junction;membrane;negative regulation of cell proliferation;neuropeptide signaling pathway;peripheral nervous system development;plasma membrane;protein binding;receptor activity;signal transduction	Tumor Suppressor
578	BAK1	BCL2-antagonist/killer 1	NM_001188	NP_001179.1	ENSG00000030110	chr6:33649557 - 33653359	establishment and/or maintenance of transmembrane electrochemical gradient;identical protein binding;induction of apoptosis;membrane;mitochondrion;pore complex;protein heterodimerization activity;regulation of apoptosis;regulation of mitochondrial membrane permeability;regulation of mitochondrial membrane potential;regulation of protein heterodimerization;regulation of protein homodimerization;release of cytochrome c from mitochondria	Tumor Suppressor
54971	BANP	BTG3 associated nuclear protein	NM_079837, NM_017869	NP_524576.2, NP_060339.2	ENSG00000172530	chr16:86566222 - 86667768		Tumor Suppressor
8314	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	NM_004656	NP_004647.1	ENSG00000163930	chr3:52411343 - 52418934	cysteine-type peptidase activity;intracellular;negative regulation of cell proliferation;nucleus;protein binding;protein modification process;ubiquitin cycle;ubiquitin thiolesterase activity;ubiquitin-dependent protein catabolic process	Tumor Suppressor
580	BARD1	BRCA1 associated RING domain 1	NM_000465	NP_000456.2	ENSG00000138376	chr2:215301644 - 215382538	BRCA1-BARD1 complex;cell cycle arrest;cytoplasm;intracellular;kinase binding;metal ion binding;negative regulation of apoptosis;negative regulation of mRNA 3'-end processing;negative regulation of protein export from nucleus;nucleus;positive regulation of apoptosis;positive regulation of protein catabolic process;protein binding;protein heterodimerization activity;protein homodimerization activity;protein ubiquitination;regulation of phosphorylation;response to DNA damage stimulus;RNA binding;tissue homeost	Stability,  Tumor Suppressor
581	BAX	BCL2-associated X protein	NM_138763, NM_004324, NM_138764, NM_138761, NM_138765	NP_620118.1, NP_004315.1, NP_620119.1, NP_620116.1, NP_620120.1	ENSG00000087088	chr19:54149997 - 54156166	apoptosis;apoptotic mitochondrial changes;B cell apoptosis;B cell homeostatic proliferation;BH3 domain binding;caspase activation;caspase activation via cytochrome c;cell cycle;cellular_component;cleavage of lamin;cytoplasm;cytosol;cytosolic part;DNA fragmentation during apoptosis;endoplasmic reticulum;endoplasmic reticulum membrane;establishment and/or maintenance of transmembrane electrochemical gradient;germ cell development;induction of apoptosis;induction of apoptosis by extracellular signals;induction	Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Entrez Query:Oncogene
9564	BCAR1	breast cancer anti-estrogen resistance 1	NM_014567	NP_055382.2	ENSG00000050820	chr16:73820909 - 73842881	actin filament organization;B cell receptor signaling pathway;cell adhesion;cell division;cell migration;cell proliferation;cytoplasm;epidermal growth factor receptor signaling pathway;focal adhesion;G-protein coupled receptor protein signaling pathway;insulin receptor signaling pathway;integrin-mediated signaling pathway;lamellipodium;membrane fraction;nerve growth factor receptor signaling pathway;platelet-derived growth factor receptor signaling pathway;positive regulation of cell migration;protein bindi	EGFR1,  Tumor Suppressor
64919	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	NM_138576, NM_022898	NP_612808.1, NP_075049.1	ENSG00000127152	chr14:98710240 - 98807308	intracellular;metal ion binding;nucleic acid binding;nucleus;regulation of transcription, DNA-dependent;transcription;zinc ion binding	Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Translocation
596	BCL2	B-cell CLL/lymphoma 2	NM_000633, NM_000657	NP_000624.2, NP_000648.2	ENSG00000171791	chr18:58946837 - 59136879	anti-apoptosis;BH3 domain binding;cytoplasm;cytosol;defense response to virus;endoplasmic reticulum;humoral immune response;integral to membrane;membrane;mitochondrial outer membrane;mitochondrion;negative regulation of cellular pH reduction;negative regulation of mitochondrial depolarization;negative regulation of neuron apoptosis;neuron apoptosis;nuclear membrane;nucleus;pregnancy;protease binding;protein heterodimerization activity;protein homodimerization activity;regulation of mitochondrial membrane pe	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
602	BCL3	B-cell CLL/lymphoma 3	NM_005178	NP_005169.2	ENSG00000069399	chr19:49943911 - 49954712	cytoplasm;defense response to bacterium;defense response to protozoan;DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis;extracellular matrix organization and biogenesis;follicular dendritic cell differentiation;germinal center formation;humoral immune response mediated by circulating immunoglobulin;I-kappaB kinase/NF-kappaB cascade;maintenance of protein localization in nucleus;marginal zone B cell differentiation;negative regulation of apoptosis;negative reg	TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
613	BCR	breakpoint cluster region	NM_004327, NM_021574	NP_004318.3, NP_067585.2	ENSG00000186716	chr22:21853147 - 21987709	cellular_component;GTPase activator activity;guanyl-nucleotide exchange factor activity;intracellular;intracellular signaling cascade;kinase activity;protein amino acid phosphorylation;protein serine/threonine kinase activity;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity;signal transduction;transferase activity	Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
8678	BECN1	beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)	NM_003766	NP_003757.1	ENSG00000126581	chr17:38216303 - 38229421	anti-apoptosis;autophagy;cellular defense response;response to virus	Tumor Suppressor
84707	BEX2	brain expressed X-linked 2	NM_032621	NP_116010.1	ENSG00000133134	chrX:102451173 - 102451560	nucleus	Tumor Suppressor
79365	BHLHB3	basic helix-loop-helix domain containing, class B, 3	NM_030762	NP_110389.1	ENSG00000123095	chr12:26166265 - 26168979	cell differentiation;cell proliferation;nucleus;organ morphogenesis;regulation of transcription, DNA-dependent;transcription factor activity	Tumor Suppressor
638	BIK	BCL2-interacting killer (apoptosis-inducing)	NM_001197	NP_001188.1	ENSG00000100290	chr22:41849972 - 41855255	apoptotic program;induction of apoptosis;integral to membrane;membrane;mitochondrial envelope;protein binding;regulation of apoptosis	Tumor Suppressor
274	BIN1	bridging integrator 1	NM_139350, NM_139347, NM_139346, NM_004305, NM_139344, NM_139348, NM_139345, NM_139351, NM_139343, NM_139349	NP_647600.1, NP_647597.1, NP_647596.1, NP_004296.1, NP_647594.1, NP_647598.1, NP_647595.1, NP_647601.1, NP_647593.1, NP_647599.1	ENSG00000136717	chr2:127522571 - 127580989	actin cytoskeleton;cell cycle;cell differentiation;cell proliferation;cytoplasm;multicellular organismal development;negative regulation of progression through cell cycle;nucleus;protein binding;regulation of endocytosis	Tumor Suppressor
332	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	NM_001168, NM_001012271, NM_001012270	NP_001159.2, NP_001012271.1, NP_001012270.1	ENSG00000089685	chr17:73721992 - 73731230	anti-apoptosis;apoptosis;caspase inhibitor activity;cell cycle;centriole;chromosome;chromosome, pericentric region;cofactor binding;cysteine protease inhibitor activity;cytokinesis;cytoplasm;cytoplasmic microtubule;cytosol;establishment of chromosome localization;G2/M transition of mitotic cell cycle;interphase microtubule organizing center;intracellular;metal ion binding;microtubule binding;midbody;mitosis;negative regulation of caspase activity;nucleus;positive regulation of exit from mitosis;positive reg	Stability,  Tumor Suppressor
10904	BLCAP	bladder cancer associated protein	NM_006698	NP_006689.1	ENSG00000166619	chr20:35580726 - 35580990	integral to membrane;membrane	Tumor Suppressor
641	BLM	Bloom syndrome	NM_000057	NP_000048.1	ENSG00000197299	chr15:89091626 - 89159513	ATP binding;ATP-dependent DNA helicase activity;DNA binding;DNA recombination;DNA repair;DNA replication;hydrolase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;intracellular;nucleotide binding;nucleus;protein binding;regulation of binding;replication fork	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation
648	BMI1	BMI1 polycomb ring finger oncogene	NM_005180	NP_005171.4	ENSG00000168283	chr10:22645352 - 22658477	chromatin modification;metal ion binding;nucleus;protein binding;regulation of transcription, DNA-dependent;segment specification;transcription;zinc ion binding	Tumor Suppressor,  Entrez Query:Oncogene
650	BMP2	bone morphogenetic protein 2	NM_001200	NP_001191.1	ENSG00000125845	chr20:6698773 - 6707736	BMP signaling pathway;bone mineralization;cardiac cell differentiation;cartilage development;cell fate commitment;cell-cell signaling;cytokine activity;embryonic development;epithelial to mesenchymal transition;extracellular region;extracellular space;growth;growth factor activity;inflammatory response;negative regulation of cell proliferation;negative regulation of progression through cell cycle;odontogenesis (sensu Vertebrata);organ morphogenesis;osteoblast differentiation;positive regulation of astrocyte	Stability,  Tumor Suppressor
657	BMPR1A	bone morphogenetic protein receptor, type IA	NM_004329	NP_004320.2	ENSG00000107779	chr10:88625755 - 88673456	anterior/posterior pattern formation;ATP binding;cartilage development;cell differentiation;dorsal/ventral axis specification;ectoderm development;heart development;hindlimb morphogenesis;integral to membrane;lung development;magnesium ion binding;manganese ion binding;membrane;mesendoderm development;Mullerian duct regression;nucleotide binding;positive regulation of epithelial cell proliferation;protein amino acid phosphorylation;receptor activity;SMAD binding;transferase activity;transforming growth fact	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Frameshift mutation,  Missense mutation,  Nonsense mutation
658	BMPR1B	bone morphogenetic protein receptor, type IB	NM_001203	NP_001194.1	ENSG00000138696	chr4:96244598 - 96294847	ATP binding;BMP signaling pathway;cartilage condensation;cell differentiation;dorsal/ventral pattern formation;estrogen biosynthetic process;eye development;inflammatory response;integral to plasma membrane;limb morphogenesis;magnesium ion binding;manganese ion binding;membrane;menstrual cycle;nucleotide binding;ovarian cumulus expansion;positive regulation of cell differentiation;protein amino acid phosphorylation;receptor activity;receptor complex;skeletal development;SMAD binding;transferase activity;tra	Tumor Suppressor
664	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	NM_004052	NP_004043.2	ENSG00000176171	chr10:133632017 - 133645300	anti-apoptosis;cell death;chromatin remodeling;cytoplasm;defense response to virus;dendrite;DNA fragmentation during apoptosis;induction of apoptosis;integral to membrane;integral to mitochondrial outer membrane;membrane;mitochondrial membrane;mitochondrion;negative regulation of membrane potential;negative regulation of survival gene product activity;neuron apoptosis;nuclear envelope;nucleoplasm;nucleus;oxygen and reactive oxygen species metabolic process;protein heterodimerization activity;protein homodim	Tumor Suppressor
